,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2022-01-20 20:49:00,1.80,WNW,291.00,0,0,1022,5.5,69,11
1,2022-01-20 20:54:00,2.10,WNW,283.00,0,0,1021.9,5.7,70,10.9
2,2022-01-20 20:59:00,1.80,WNW,292.00,0,0,1021.9,5.7,70,10.9
3,2022-01-20 21:04:00,2.60,S,174.00,0,0,1021.9,5.7,70,10.9
4,2022-01-20 21:09:00,3.20,WSW,238.00,0,0,1021.7,5.7,70,10.9
5,2022-01-20 21:14:00,5.00,WSW,250.00,0,0,1021.6,5.8,71,10.9
6,2022-01-20 21:19:00,4.70,WSW,240.00,0,0,1021.6,5.7,71,10.8
7,2022-01-20 21:24:00,6.40,WSW,237.00,0,0,1021.6,5.9,72,10.8
8,2022-01-20 21:29:00,8.20,SW,217.00,0,0,1021.7,5.8,71,10.9
9,2022-01-20 21:34:00,5.50,SSW,205.00,0,0,1021.4,6,72,10.9
10,2022-01-20 21:39:00,2.90,WNW,296.00,0,0,1021.3,5.9,72,10.8
11,2022-01-20 21:44:00,1.40,W,267.00,0,0,1021.4,6.1,73,10.7
12,2022-01-20 21:49:00,5.50,WSW,245.00,0,0,1021.2,6.1,73,10.7
13,2022-01-20 21:54:00,9.30,WSW,241.00,0,0,1021.4,6.2,74,10.6
14,2022-01-20 21:59:00,11.90,WSW,255.00,0,0,1021.3,6.3,74,10.7
15,2022-01-20 22:09:00,12.60,W,266.00,0,0,1021.4,6.4,73,11
16,2022-01-20 22:14:00,9.30,WSW,241.00,0,0,1021.2,6.3,72,11.2
17,2022-01-20 22:19:00,7.60,WSW,240.00,0,0,1021.4,6.4,73,11
18,2022-01-20 22:24:00,6.40,WSW,246.00,0,0,1021.4,6.1,71,11.2
19,2022-01-20 22:29:00,8.20,SW,217.00,0,0,1021.2,6.2,71,11.3
20,2022-01-20 22:34:00,6.40,WNW,295.00,0,0,1021,6.3,69,11.8
21,2022-01-20 22:39:00,2.90,WNW,287.00,0,0,1021.3,6.3,69,11.8
22,2022-01-20 22:44:00,0.00,NW,319.00,0,0,1020.9,6.4,70,11.7
23,2022-01-20 22:49:00,5.80,W,262.00,0,0,1021,6.4,70,11.7
24,2022-01-20 22:54:00,6.90,W,262.00,0,0,1021,6.2,69,11.7
25,2022-01-20 22:59:00,1.40,W,273.00,0,0,1021,6.2,69,11.7
26,2022-01-20 23:04:00,2.90,WNW,301.00,0,0,1020.9,6.3,70,11.6
27,2022-01-20 23:09:00,6.40,WSW,252.00,0,0,1020.7,6.3,70,11.6
28,2022-01-20 23:14:00,2.60,WSW,238.00,0,0,1020.7,6.2,70,11.5
29,2022-01-20 23:19:00,4.00,W,267.00,0,0,1020.9,6.4,71,11.5
30,2022-01-20 23:24:00,6.10,NW,306.00,0,0,1020.8,6.3,70,11.6
31,2022-01-20 23:29:00,8.70,W,269.00,0,0,1020.6,6.2,70,11.5
32,2022-01-20 23:34:00,8.70,WSW,254.00,0,0,1020.6,6.3,70,11.6
33,2022-01-20 23:39:00,10.50,WSW,251.00,0,0,1020.5,6.3,70,11.6
34,2022-01-20 23:44:00,9.00,W,279.00,0,0,1020.4,6.4,71,11.5
35,2022-01-20 23:49:00,7.90,WSW,240.00,0,0,1020.2,6.4,71,11.5
36,2022-01-20 23:54:00,6.40,SW,224.00,0,0,1020.3,6.5,71,11.6
37,2022-01-20 23:59:00,13.00,WSW,255.00,0,0,1019.9,6.4,71,11.5
38,2022-01-21 00:04:00,6.10,WSW,243.00,0,0,1020.1,6.3,69,11.8
39,2022-01-21 00:09:00,5.50,SW,230.00,0,0,1020.1,6.3,70,11.6
40,2022-01-21 00:14:00,11.10,WSW,247.00,0,0,1020.1,6.2,70,11.5
41,2022-01-21 00:19:00,6.10,NW,314.00,0,0,1020.2,6.4,70,11.7
42,2022-01-21 00:24:00,9.70,WSW,238.00,0,0,1020.3,6.3,70,11.6
43,2022-01-21 00:29:00,11.60,W,265.00,0,0,1020.1,6.5,71,11.6
44,2022-01-21 00:34:00,5.80,NW,304.00,0,0,1019.9,6.6,71,11.7
45,2022-01-21 00:39:00,9.30,W,278.00,0,0,1020.1,6.7,72,11.6
46,2022-01-21 00:44:00,7.20,WSW,256.00,0,0,1020,6.5,72,11.4
47,2022-01-21 00:49:00,16.30,WSW,256.00,0,0,1019.8,6.5,72,11.4
48,2022-01-21 00:54:00,8.20,W,262.00,0,0,1019.8,6.7,71,11.8
49,2022-01-21 00:59:00,9.30,NW,313.00,0,0,1019.9,6.7,72,11.6
50,2022-01-21 01:04:00,16.60,W,277.00,0,0,1020,6.7,71,11.8
51,2022-01-21 01:09:00,10.50,W,275.00,0,0,1020,6.6,71,11.7
52,2022-01-21 01:14:00,12.20,WSW,257.00,0,0,1019.9,6.7,71,11.8
53,2022-01-21 01:19:00,13.70,WSW,239.00,0,0,1019.7,6.8,72,11.7
54,2022-01-21 01:24:00,11.90,W,269.00,0,0,1019.7,6.8,71,11.9
55,2022-01-21 01:29:00,15.10,W,274.00,0,0,1019.8,6.8,71,11.9
56,2022-01-21 01:34:00,14.80,NW,307.00,0,0,1019.9,7,72,11.9
57,2022-01-21 01:39:00,11.90,NW,312.00,0,0,1019.8,7,73,11.7
58,2022-01-21 01:44:00,13.70,NNW,329.00,0,0,1019.7,7,74,11.5
59,2022-01-21 01:49:00,8.20,NNW,328.00,0,0,1019.7,7.1,74,11.6
60,2022-01-21 01:54:00,10.50,NNW,340.00,0,0,1019.8,7,74,11.5
61,2022-01-21 01:59:00,5.00,WNW,298.00,0,0,1019.7,7.1,75,11.4
62,2022-01-21 02:04:00,2.60,NW,325.00,0,0,1019.9,7.3,77,11.2
63,2022-01-21 02:09:00,4.70,NW,311.00,0,0,1019.7,7.4,78,11.1
64,2022-01-21 02:14:00,2.90,WNW,301.00,0,0,1019.7,7.5,79,11
65,2022-01-21 02:19:00,11.90,W,281.00,0,0,1019.8,7.2,78,10.9
66,2022-01-21 02:24:00,2.10,W,267.00,0,0,1019.5,7,77,10.9
67,2022-01-21 02:29:00,2.10,W,279.00,0,0,1019.5,6.5,75,10.8
68,2022-01-21 02:34:00,1.10,NNW,343.00,0,0,1019.6,6.5,75,10.8
69,2022-01-21 02:39:00,3.20,SSE,166.00,0,0,1019.4,6.5,75,10.8
70,2022-01-21 02:44:00,2.10,NNE,25.00,0,0,1019.4,6.6,76,10.7
71,2022-01-21 02:49:00,1.40,N,2.00,0,0,1019.5,6.5,75,10.8
72,2022-01-21 02:54:00,0.00,N,351.00,0,0,1019.4,6.5,75,10.8
73,2022-01-21 02:59:00,1.80,SSE,156.00,0,0,1019.5,6.5,75,10.8
74,2022-01-21 03:04:00,1.10,N,355.00,0,0,1019.4,6.5,75,10.8
75,2022-01-21 03:09:00,0.00,NW,315.00,0,0,1019.6,6.7,75,11
76,2022-01-21 03:14:00,1.80,NNE,26.00,0,0,1019.3,6.7,75,11
77,2022-01-21 03:19:00,7.20,W,260.00,0,0,1019.4,6.9,76,11
78,2022-01-21 03:24:00,7.20,WNW,301.00,0,0,1019.4,6.8,76,10.9
79,2022-01-21 03:29:00,3.50,NW,306.00,0,0,1019.4,7,76,11.1
80,2022-01-21 03:34:00,0.00,NW,316.00,0,0,1019.2,6.8,76,10.9
81,2022-01-21 03:39:00,0.30,N,2.00,0,0,1019.1,6.9,77,10.8
82,2022-01-21 03:44:00,5.50,SSW,195.00,0,0,1019.1,7,78,10.7
83,2022-01-21 03:49:00,5.00,SW,216.00,0,0,1019,6.8,76,10.9
84,2022-01-21 03:54:00,5.00,SSW,201.00,0,0,1019.1,6.7,76,10.8
85,2022-01-21 03:59:00,3.50,WSW,243.00,0,0,1018.8,6.5,76,10.6
86,2022-01-21 04:04:00,7.20,SW,223.00,0,0,1019.2,6.4,76,10.5
87,2022-01-21 04:09:00,4.00,WSW,250.00,0,0,1018.9,6.4,75,10.6
88,2022-01-21 04:14:00,1.10,W,273.00,0,0,1019,6.4,74,10.8
89,2022-01-21 04:19:00,0.30,NW,317.00,0,0,1018.9,6.3,74,10.7
90,2022-01-21 04:24:00,1.80,NNE,31.00,0,0,1018.7,6.1,73,10.7
91,2022-01-21 04:29:00,7.90,WSW,245.00,0,0,1018.7,6.3,74,10.7
92,2022-01-21 04:34:00,3.20,WSW,237.00,0,0,1018.8,6.3,74,10.7
93,2022-01-21 04:39:00,6.10,WSW,240.00,0,0,1018.8,6.2,74,10.6
94,2022-01-21 04:44:00,6.10,SW,221.00,0,0,1018.7,6.1,73,10.7
95,2022-01-21 04:49:00,4.00,W,265.00,0,0,1019,6.3,74,10.7
96,2022-01-21 04:54:00,4.00,WSW,245.00,0,0,1018.9,5.9,72,10.8
97,2022-01-21 04:59:00,9.70,WSW,240.00,0,0,1018.7,6,72,10.9
98,2022-01-21 05:04:00,7.20,SW,236.00,0,0,1018.9,5.8,71,10.9
99,2022-01-21 05:09:00,7.90,SSW,213.00,0,0,1019,5.8,71,10.9
100,2022-01-21 05:14:00,10.50,SW,236.00,0,0,1018.7,5.7,71,10.8
101,2022-01-21 05:19:00,5.00,WSW,249.00,0,0,1018.9,6,71,11.1
102,2022-01-21 05:24:00,8.70,WSW,246.00,0,0,1019.2,6,71,11.1
103,2022-01-21 05:29:00,4.00,W,277.00,0,0,1019.4,6.3,72,11.2
104,2022-01-21 05:34:00,5.80,WNW,288.00,0,0,1019.4,6.4,73,11
105,2022-01-21 05:39:00,9.30,NW,317.00,0,0,1019.5,6.6,75,10.9
106,2022-01-21 05:44:00,9.00,WSW,257.00,0,0,1019.3,6.9,78,10.6
107,2022-01-21 05:49:00,7.90,N,356.00,0,0,1019.7,6.9,79,10.4
108,2022-01-21 05:54:00,6.10,W,264.00,0,0,1019.7,7,81,10.1
109,2022-01-21 05:59:00,13.70,WNW,282.00,0,0,1019.1,6.9,81,10
110,2022-01-21 06:04:00,14.80,WSW,255.00,0,0,1019.2,7.1,82,10
111,2022-01-21 06:09:00,10.50,W,263.00,0,0,1019.1,7,81,10.1
112,2022-01-21 06:14:00,15.10,W,266.00,0,0,1019.4,6.7,79,10.2
113,2022-01-21 06:19:00,16.90,WSW,243.00,0,0,1019.2,6.8,79,10.3
114,2022-01-21 06:24:00,12.20,W,276.00,0,0,1019.3,6.6,78,10.3
115,2022-01-21 06:29:00,8.20,WSW,252.00,0,0,1019.3,6.7,78,10.4
116,2022-01-21 06:34:00,12.20,W,261.00,0,0,1019.3,6.7,78,10.4
117,2022-01-21 06:39:00,18.70,W,264.00,0,0,1019.1,6.6,77,10.5
118,2022-01-21 06:44:00,13.00,WNW,287.00,0,0,1019.5,6.5,76,10.6
119,2022-01-21 06:49:00,11.90,W,264.00,0,0,1019.5,6.5,76,10.6
120,2022-01-21 06:54:00,15.40,W,259.00,0,0,1019.4,6.5,75,10.8
121,2022-01-21 06:59:00,16.30,SW,221.00,0,0,1019.1,6.5,74,10.9
122,2022-01-21 07:04:00,20.10,WSW,253.00,0,0,1019.1,6.5,73,11.1
123,2022-01-21 07:09:00,23.80,WSW,251.00,0,0,1019,6.4,72,11.3
124,2022-01-21 07:14:00,16.90,W,265.00,0,0,1019.1,6.7,73,11.4
125,2022-01-21 07:19:00,15.40,WNW,287.00,0,0,1019.3,6.9,74,11.3
126,2022-01-21 07:24:00,14.80,W,259.00,0,0,1019.5,6.7,73,11.4
127,2022-01-21 07:29:00,10.50,SW,226.00,0,0,1019.1,6.9,73,11.6
128,2022-01-21 07:34:00,15.80,WSW,245.00,0,0,1019.3,6.8,72,11.7
129,2022-01-21 07:39:00,24.10,WSW,257.00,0,0,1019.3,6.4,70,11.7
