,data,velocità vento [km/h],cardinalità vento,direzione vento [°],pioggia cumulata [mm],pioggia istantanea [mm],pressione [hPa],temperatura di rugiada [°C],umidità relativa [%],temperatura [°C]
0,2021-12-26 20:39:00,4.00,W,269.00,0.0,0,1012.6,8.6,63,15.6
1,2021-12-26 20:44:00,1.80,NNW,347.00,0.0,0,1012.4,8.3,64,15.1
2,2021-12-26 20:49:00,3.50,N,352.00,0.0,0,1012.4,8.3,63,15.3
3,2021-12-26 20:54:00,0.00,NNW,333.00,0.0,0,1012.4,8.5,60,16.3
4,2021-12-26 20:59:00,0.60,NNW,344.00,0.0,0,1012.5,8.4,62,15.7
5,2021-12-26 21:09:00,5.00,WNW,283.00,0.0,0,1012.4,8.7,66,15.0
6,2021-12-26 21:14:00,4.70,WNW,287.00,0.0,0,1012.3,8.5,66,14.8
7,2021-12-26 21:19:00,8.70,WSW,245.00,0.0,0,1012.2,8.5,64,15.3
8,2021-12-26 21:24:00,9.70,WSW,254.00,0.0,0,1012.5,8.3,59,16.3
9,2021-12-26 21:29:00,7.20,WSW,248.00,0.0,0,1012.5,8.4,59,16.4
10,2021-12-26 21:34:00,5.80,W,273.00,0.0,0,1012.5,8.6,59,16.6
11,2021-12-26 21:39:00,10.50,WSW,252.00,0.0,0,1012.4,8.7,60,16.5
12,2021-12-26 21:44:00,7.90,WSW,239.00,0.0,0,1012.3,8.9,61,16.4
13,2021-12-26 21:49:00,10.50,WSW,250.00,0.0,0,1012.3,8.7,61,16.2
14,2021-12-26 21:54:00,9.30,W,266.00,0.0,0,1012.2,8.6,60,16.4
15,2021-12-26 21:59:00,7.90,WSW,249.00,0.0,0,1012.3,8.8,61,16.3
16,2021-12-26 22:04:00,10.50,WSW,257.00,0.0,0,1012.5,8.4,60,16.2
17,2021-12-26 22:09:00,8.70,WSW,253.00,0.0,0,1012.3,8.4,59,16.4
18,2021-12-26 22:15:00,8.20,W,267.00,0.0,0,1012.4,8.3,59,16.3
19,2021-12-26 22:19:00,9.30,W,274.00,0.0,0,1012.4,8.3,60,16.1
20,2021-12-26 22:24:00,7.90,W,264.00,0.0,0,1012.1,8.5,61,16.0
21,2021-12-26 22:29:00,8.70,W,266.00,0.0,0,1012.1,8.5,61,16.0
22,2021-12-26 22:34:00,10.50,WNW,292.00,0.0,0,1012.3,8.7,62,16.0
23,2021-12-26 22:39:00,6.10,WNW,285.00,0.0,0,1012.0,8.7,62,16.0
24,2021-12-26 22:44:00,8.70,W,267.00,0.0,0,1012.0,9.0,63,16.0
25,2021-12-26 22:49:00,13.40,W,276.00,0.0,0,1011.9,9.1,63,16.1
26,2021-12-26 22:54:00,9.70,W,280.00,0.0,0,1011.8,9.2,63,16.2
27,2021-12-26 22:59:00,18.00,WSW,249.00,0.0,0,1011.7,9.4,64,16.2
28,2021-12-26 23:04:00,12.60,WNW,282.00,0.0,0,1011.8,9.3,64,16.1
29,2021-12-26 23:09:00,14.00,W,261.00,0.0,0,1011.6,9.3,64,16.1
30,2021-12-26 23:14:00,9.70,WSW,255.00,0.0,0,1011.8,9.5,65,16.1
31,2021-12-26 23:19:00,12.20,WSW,243.00,0.0,0,1011.8,9.8,66,16.1
32,2021-12-26 23:24:00,12.20,W,274.00,0.0,0,1011.8,10.0,67,16.1
33,2021-12-26 23:29:00,14.80,WSW,255.00,0.0,0,1011.8,10.1,68,16.0
34,2021-12-26 23:34:00,6.40,W,277.00,0.0,0,1011.7,10.0,68,15.9
35,2021-12-26 23:39:00,15.40,WSW,241.00,0.0,0,1011.8,10.2,69,15.9
36,2021-12-26 23:44:00,14.00,W,269.00,0.0,0,1011.4,10.5,70,15.9
37,2021-12-26 23:49:00,6.90,NW,306.00,0.0,0,1011.6,10.5,70,15.9
38,2021-12-26 23:54:00,9.70,W,260.00,0.0,0,1011.5,10.6,71,15.8
39,2021-12-26 23:59:00,17.70,W,261.00,0.0,0,1011.6,10.7,72,15.8
40,2021-12-27 00:04:00,11.10,NNW,329.00,0.0,0,1011.5,10.7,72,15.8
41,2021-12-27 00:09:00,11.60,WNW,283.00,0.0,0,1011.5,10.9,73,15.7
42,2021-12-27 00:14:00,10.50,SW,217.00,0.0,0,1011.3,10.8,73,15.6
43,2021-12-27 00:19:00,17.20,SW,228.00,0.0,0,1011.3,10.8,73,15.6
44,2021-12-27 00:24:00,8.70,NW,315.00,0.0,0,1011.5,10.9,74,15.5
45,2021-12-27 00:29:00,16.30,WSW,256.00,0.0,0,1011.4,10.8,74,15.4
46,2021-12-27 00:34:00,17.20,W,264.00,0.0,0,1011.7,11.1,75,15.5
47,2021-12-27 00:39:00,15.40,WNW,294.00,0.0,0,1011.4,11.0,75,15.4
48,2021-12-27 00:44:00,14.80,W,267.00,0.0,0,1011.4,11.0,75,15.4
49,2021-12-27 00:49:00,18.00,WNW,292.00,0.0,0,1011.1,11.0,75,15.4
50,2021-12-27 00:54:00,11.90,WSW,253.00,0.0,0,1011.5,11.0,75,15.4
51,2021-12-27 00:59:00,11.60,WNW,294.00,0.0,0,1011.2,11.1,76,15.3
52,2021-12-27 01:04:00,12.60,WSW,254.00,0.0,0,1011.3,11.1,77,15.1
53,2021-12-27 01:09:00,7.90,NW,316.00,0.0,0,1011.3,11.1,77,15.1
54,2021-12-27 01:14:00,10.50,W,272.00,0.0,0,1011.3,11.1,77,15.1
55,2021-12-27 01:19:00,12.20,WNW,297.00,0.0,0,1011.2,11.1,77,15.1
56,2021-12-27 01:24:00,9.70,W,265.00,0.0,0,1011.3,11.3,78,15.1
57,2021-12-27 01:29:00,7.90,W,274.00,0.0,0,1011.4,11.1,78,14.9
58,2021-12-27 01:34:00,10.80,W,276.00,0.0,0,1011.5,11.2,78,15.0
59,2021-12-27 01:39:00,9.30,W,275.00,0.0,0,1011.8,11.3,79,14.9
60,2021-12-27 01:44:00,6.90,W,274.00,0.0,0,1011.8,11.4,80,14.8
61,2021-12-27 01:49:00,13.40,WSW,258.00,0.0,0,1011.8,11.3,80,14.7
